Key,Year initiated,original_post,title,url,Solution Source,VPN Solution,VPN Protocol,Endpoints,Olivia VPN Problem,Ryan VPN Problem,Sean VPN Problem,Final VPN Problem,VPN #
193,2016,"So 1 ASA 5525 Scenario:- Currently user authenticate using their AD credential in the pop up box as the anyconnect tunnel comes up, I now need to add access via mobile devices dial on demand. Obviously using certificates for these devices is the answer so what I want to know is can I use a certificate for mobiles and a different authentication system for other devices. I know this should be possible but cannot find the answer outside of running 2 asa's one for authentication mobiles and the 2nd for laptop mobile warriors, realising I could user multiple contexts but this is a virtual solution of the 2 box solution, Ideally I would want a profile that if authentication a fails then it moves onto test 2 if that fails final is fail any thoughts? Presently no ISE but we do have a radius",Multiple profiles ASA,https://supportforums.cisco.com/discussion/13071116/multiple-profiles-asa,Cisco,,,ASA 5525,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
197,2016,"I have multiple (about 70!) sites, but each site has the exact same LAN (192.168.2.0/24) Each site has an ISR800. At my home office, I have a DMVPN hub (ISR4331) configured. At my home office, I have one network that each of the clients on my spokes need access to (192.168.10.0/24). All other access for spoke clients should go straight to the internet through that routers wan connection. Spokes will never talk to each other. My tunnels are all in the 172.16.0.0/23 network, with \172.16.0.1 being the hub. What's the best way to do this? I feel like some sort of NAT would be the solution, but, not sure what direction to look in. I've found other posts about duplicate networks, but only for a single network duplication... not 70x.",DMVPN hub & multiple spokes w/ same subnet,https://supportforums.cisco.com/discussion/13070786/dmvpn-hub-multiple-spokes-w-same-subnet,VIP,DMVPN,,,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
220,2016,"Hi Guys, we are having 3900 router which is currently having below DMVPN s router acting as a HUB C3900-SPE250/K9(CISCO3945-CHASSIS) c3900e-universalk9-mz.SPA.151-4.M4.bin ""Need advise whether should buy HSEC license if it goes up to 125 spokes(sites) connecting via this 3945 dmVPN router"" below are the required command output of the current settings in router having seck9 license. Upon researching, I found the following information. Without the HSEC solution, the 3945 ISR supports 255 IPSec tunnel. If you add HSEC, it can scale up to 2000 IPSec tunnel. Now if you see the output below IPSec-Session: 212 active, 6399 max, & Number of tunnels max shows 225 so for above mentioned new spokes will that HSEC license is require (as there 2 things IPSEC sessions and active tunnels) Currently we have around 110 Spokes (sites) connected to 3945 hub router. Reference: HSEC-K9 License http://www3.cisco.com/c/en/us/products/collateral/routers/3900-series-integrated-services-routers-isr/q-and-a-c67-606268.html http://www.cisco.com/c/en/us/support/docs/security-vpn/ipsec-negotiation... show crypto eli detail show crypto isa sa count show crypto ipsec sa count show platform cerm-information---------------------------------- sh crypto eli Hardware Encryption: ACTIVE Number of hardware crypto engines = 1 CryptoEngine Onboard VPN details: state = Active Capability: IPPCP, DES, 3DES, AES, IPv6, GDOI, FAILCLOSE, HA IPSec-Session: 212 active, 6399 max, 0 failed------------------------------------- sh crypto isakmp sa count Active ISAKMP SA's: 101 Standby ISAKMP SA's: 0 Currently being negotiated ISAKMP SA's: 0 ============================= sh crypto ipsec sa cou IPsec SA total: 208, active: 204, rekeying: 4, unused: 0, invalid: 0 ============================ #sh platform cerm-information Crypto Export Restrictions Manager(CERM) Information: CERM functionality: ENABLED ---------------------------------------------------------------- ResourceMaximum LimitAvailable ---------------------------------------------------------------- Tx Bandwidth(in kbps) 8500085000 Rx Bandwidth(in kbps) 8500085000 Number of tunnels 225123 Number of TLS sessions 10001000 Resource reservation information: D- Dynamic ----------------------------------------------------------------------- ClientTx BandwidthRx BandwidthTunnels TLS Sessions (in kbps) (in kbps) ----------------------------------------------------------------------- VOICE 0 0 0 0 IPSEC D D 102 N/A SSLVPN D D 0 N/A Statistics information: Failed tunnels: 0 Failed sessions: 0 Failed tx bandwidth: 0 Failed rx bandwidth: 0 Failed encrypt pkts: 0 Failed decrypt pkts: 0 Failed encrypt pkt bytes: 0 Failed decrypt pkt bytes: 0 Passed encrypt pkts: 23746321255 Passed decrypt pkts: 20079132018 Passed encrypt pkt bytes: 21892230873508 Passed decrypt pkt bytes: 9815317896176 ==========================",DMVPN & HSEC license scalability query,https://supportforums.cisco.com/discussion/13063586/dmvpn-hsec-license-scalability-query,VIP,DMVPN,IPSEC,Router,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
294,2016,"Hi, I recently received a ASA 5505, and I have spent weeks to figure out how to set up a VPN on it. After some days, I finally found the solution to connect to my ASA with a VPN client, yet and cannot acces the devices that are connected to the ASA. Here is my config: ASA Version 8.2(5)! hostname asa01 domain-name kevinasa01.net enable password 8Ry2YjIyt7RRXU24 encrypted passwd 2KFQnbNIdI.2KYOU encrypted names! interface Ethernet0/0 switchport access vlan 2! interface Ethernet0/1! interface Ethernet0/2! interface Ethernet0/3 switchport access vlan 5! interface Ethernet0/4! interface Ethernet0/5! interface Ethernet0/6! interface Ethernet0/7! interface Vlan1 nameif inside security-level 100 ip address 192.168.1.1 255.255.255.0! interface Vlan2 nameif outside security-level 0 ip address dhcp setroute! interface Vlan5 no nameif security-level 50 ip address 172.16.1.1 255.255.255.0! ftp mode passive dns server-group DefaultDNS domain-name kevinasa01.net same-security-traffic permit intra-interface access-list Remote_Kevin_splitTunnelAcl standard permit 192.168.1.0 255.255.255.0 access-list inside_nat0_outbound extended permit ip 192.168.1.0 255.255.255.0 192.168.254.0 255.255.255.240 access-list inside_nat0_outbound extended permit ip any 192.168.254.0 255.255.255.0 access-list inside_nat0_outbound extended permit ip any 192.168.1.0 255.255.255.0 access-list nonat-in extended permit ip 192.168.254.0 255.255.255.0 192.168.1.0 255.255.255.0 access-list outside_access_in extended permit ip 192.168.254.0 255.255.255.0 any access-list inside_access_in extended permit ip 192.168.254.0 255.255.255.0 any pager lines 24 logging asdm informational mtu outside 1500 mtu inside 1500 ip local pool Pool 192.168.254.1-192.168.254.10 mask 255.255.255.0 icmp unreachable rate-limit 1 burst-size 1 no asdm history enable arp timeout 14400 global (outside) 1 interface nat (outside) 1 192.168.254.0 255.255.255.0 nat (inside) 0 access-list nonat-in nat (inside) 1 192.168.1.0 255.255.255.0 nat (inside) 1 0.0.0.0 0.0.0.0 access-group outside_access_in in interface outside timeout xlate 3:00:00 timeout conn 1:00:00 half-closed 0:10:00 udp 0:02:00 icmp 0:00:02 timeout sunrpc 0:10:00 h323 0:05:00 h225 1:00:00 mgcp 0:05:00 mgcp-pat 0:05:00 timeout sip 0:30:00 sip_media 0:02:00 sip-invite 0:03:00 sip-disconnect 0:02:00 timeout sip-provisional-media 0:02:00 uauth 0:05:00 absolute timeout tcp-proxy-reassembly 0:01:00 timeout floating-conn 0:00:00 dynamic-access-policy-record DfltAccessPolicy http server enable http 192.168.1.0 255.255.255.0 inside no snmp-server location no snmp-server contact snmp-server enable traps snmp authentication linkup linkdown coldstart crypto ipsec transform-set ESP-3DES-SHA esp-3des esp-sha-hmac crypto ipsec transform-set ESP-3DES-MD5 esp-3des esp-md5-hmac crypto ipsec transform-set ESP-DES-MD5 esp-des esp-md5-hmac crypto ipsec transform-set ESP-AES-128-SHA esp-aes esp-sha-hmac crypto ipsec transform-set ESP-AES-192-SHA esp-aes-192 esp-sha-hmac crypto ipsec transform-set ESP-AES-128-MD5 esp-aes esp-md5-hmac crypto ipsec transform-set ESP-AES-192-MD5 esp-aes-192 esp-md5-hmac crypto ipsec transform-set ESP-AES-256-SHA esp-aes-256 esp-sha-hmac crypto ipsec transform-set ESP-AES-256-MD5 esp-aes-256 esp-md5-hmac crypto ipsec transform-set ESP-DES-SHA esp-des esp-sha-hmac crypto ipsec security-association lifetime seconds 28800 crypto ipsec security-association lifetime kilobytes 4608000 crypto dynamic-map SYSTEM_DEFAULT_CRYPTO_MAP 65535 set pfs group1 crypto dynamic-map SYSTEM_DEFAULT_CRYPTO_MAP 65535 set transform-set ESP-AES-128-SHA ESP-AES-128-MD5 ESP-AES-192-SHA ESP-AES-192-MD5 ESP-AES-256-SHA ESP-AES-256-MD5 ESP-3DES-SHA ESP-3DES-MD5 ESP-DES-SHA ESP-DES-MD5 crypto map outside_map 65535 ipsec-isakmp dynamic SYSTEM_DEFAULT_CRYPTO_MAP crypto map outside_map interface outside crypto isakmp enable outside crypto isakmp policy 10 authentication pre-share encryption 3des hash sha group 2 lifetime 86400 telnet timeout 5 ssh timeout 5 console timeout 0 management-access inside dhcpd auto_config outside! dhcpd address 192.168.1.5-192.168.1.36 inside dhcpd enable inside! threat-detection basic-threat threat-detection statistics access-list no threat-detection statistics tcp-intercept webvpn group-policy Remote_Kevin internal group-policy Remote_Kevin attributes dns-server value 192.168.1.12 192.168.1.13 vpn-simultaneous-logins 3 vpn-tunnel-protocol IPSec split-tunnel-policy tunnelspecified split-tunnel-network-list value Remote_Kevin_splitTunnelAcl default-domain value kevinasa01.net username kevin password mz6JxJib/sQqvsw9 encrypted privilege 0 username kevin attributes vpn-group-policy Remote_Kevin tunnel-group Remote_Kevin type remote-access tunnel-group Remote_Kevin general-attributes address-pool Pool default-group-policy Remote_Kevin tunnel-group Remote_Kevin ipsec-attributes pre-shared-key *****! class-map inspection_default match default-inspection-traffic!! policy-map type inspect dns preset_dns_map parameters message-length maximum client auto message-length maximum 512 policy-map global_policy class inspection_default inspect dns preset_dns_map inspect ftp inspect h323 h225 inspect h323 ras inspect rsh inspect rtsp inspect esmtp inspect sqlnet inspect skinny inspect sunrpc inspect xdmcp inspect sip inspect netbios inspect tftp inspect ip-options inspect icmp inspect icmp error! service-policy global_policy global prompt hostname context no call-home reporting anonymous Cryptochecksum:2bb1da52d1993eb9b13c2f6dc97c16cd: end Thanks,","ASA 5505 VPN Established, Cannot acces inside network",https://supportforums.cisco.com/discussion/13049641/asa-5505-vpn-etablished-cannot-acces-inside-network,VIP,,,ASA 5505,VPN Feature Not Working,VPN Tunnel Not Coming Up,VPN Tunnel Not Coming Up,VPN Tunnel Not Coming Up,0
300,2016,"Hi, I have a problem with all PPPoe spoker on my network with DMVPN. The problem is the stability of the tunnel DMVPN. All spoker with PPPoe I have a problem. When I do a ping on the spoker to the hub like this: ping [dest IP Hub] sou [local IP tunnel] I have only 50% of success. In spoker log I have this message: %DUAL-5-NBRCHANGE: EIGRP-IPv4 1: Neighbor X.X.X.X(Tunnel2) is down: Peer Termination received I'm pretty sure it's related with mtu setting. Only int tunnel 2 on spoker I try to play with ip mtu and ip tcp adjust-mss size. No success But is it normal if in int dialer1 I set the mtu to 1492 and with I do a sh int dialer 1 the mtu is 1500? I don't know what is the right recipe in this case when I have multiple spoker not all PPPoe with the hub? Do I have to create an other DMVPN just for PPPoe spoker? If yes, what is the parameter I have to do for PPPoe with DMVPN. Do I have to set the mtu on tunnel port? Both place, hub and spoker? Etc.... Because if I use GRE with VPN on a remote where PPPoe is install, I don't have a problem anymore. For the simplicity of the code and maintenance, I prefer to use DMVPN for sure. So, if it's possible to configure it it will be nice. Thank you",PPPoe DMVPN mtu,https://supportforums.cisco.com/discussion/13049101/pppoe-dmvpn-mtu,VIP,DMVPN,,,VPN Tunnel Flapping,VPN Tunnel Flapping,VPN Tunnel Flapping,VPN Tunnel Flapping,1
329,2016,"Hello I am looking for directions to how to guides or configuration examples on how ISE PSN can be used as Intermediate CA (Root CA being corporate Microsoft CA). Routers / ASA Firewalls auto-enrol certificate request to ISE which can issue the certificate as intermediate CA, purpose of these certificates Routers / Firewalls can use for configuration of IPSec VPN. Many Thanks, Rakesh",Cisco ISE issue Router Certificate,https://supportforums.cisco.com/discussion/13043681/cisco-ise-issue-router-certificate,VIP,,IPSEC,ASA,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
334,2016,"Hi Experts, I am using Cisco ASA 5515-x. Firmware 9.4.2 ASDM 7.5.2 I have some questions: How I need to show vpn-Anyconnect session history? And why when I want to show connection status from Anyconnect client using filter on ASDM, the process always stopped at 97% (picture-Attached) Thanks, Khoirul",How to show vpn-Anyconnect session history use ASDM?,https://supportforums.cisco.com/discussion/13042461/how-show-vpn-anyconnect-session-history-use-asdm,VIP,,,ASA 5515-x,Customer Education/Configuration Assistance / VPN Feature Not Working,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
338,2016,"Dear Experts, Is there a way we can configure a VPN on TP-LINK router. Can anyone please help me. Thanks Mohammed Rashid",VPN issue,https://supportforums.cisco.com/discussion/13042081/vpn-issue,community,---------------------,---------------------,TP-LINK router,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
340,2016,"Is there everybody know about the new license any connect for asa5500-x. Is in All ASA 5500-x still free 2 license any connect plus or apex? please let me know, thanks rgds, Charis",New Any Connect License,https://supportforums.cisco.com/discussion/13041856/new-any-connect-license,VIP,,,ASA 5500-x,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
353,2016,"Can someone please explain to me how to upload the windows 10 anyconnect vpn client to my asa 5516 version 9.5 and configure the asa for windows 10 clients? Any help would be greatly appreciated. Thanks, Lake",Windows 10 anyconnect vpn client,https://supportforums.cisco.com/discussion/13040046/windows-10-anyconnect-vpn-client,"Cisco, community",,,ASA5516 version 9.5,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
