,Key,Year initiated,original_post,title,url,Solution Source,VPN Solution,VPN Protocol,Endpoints,Olivia VPN Problem,Ryan VPN Problem,Sean VPN Problem,Final VPN Problem,VPN #
0,193,2016,1 asa 5525 scenario current user authent use ad credenti in pop up box anyconnect tunnel come up need add access via mobil devic dial demand obvious use certif devic answer want know use certif mobil differ authent system devic know possibl find answer outsid run 2 asa one authent mobil 2nd laptop mobil warrior realis could user multipl context virtual solut 2 box solut ideal would want profil authent fail move onto test 2 fail final fail thought present ise radiu,Multiple profiles ASA,https://supportforums.cisco.com/discussion/13071116/multiple-profiles-asa,Cisco,,,ASA 5525,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
1,197,2016,multipl 70 site site exact lan 1921682024 site isr800 home offic dmvpn hub isr4331 configur home offic one network client spoke need access 19216810024 access spoke client go straight internet router wan connect spoke never talk tunnel in 172160023 network 1721601 hub best way feel like sort nat would solut sure direct look in found post duplic network singl network duplic 70x,DMVPN hub & multiple spokes w/ same subnet,https://supportforums.cisco.com/discussion/13070786/dmvpn-hub-multiple-spokes-w-same-subnet,VIP,DMVPN,,,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
2,220,2016,guy 3900 router current dmvpn router act hub c3900spe250k9 cisco3945chassi c3900euniversalk9mzspa1514m4bin need advis whether buy hsec licens goe up 125 spoke site connect via 3945 dmvpn router requir command output current set in router seck9 licens upon research found follow inform without hsec solut 3945 isr support 255 ipsec tunnel add hsec scale up 2000 ipsec tunnel see output ipsecsess 212 activ 6399 max number tunnel max show 225 mention new spoke hsec licens requir 2 thing ipsec session activ tunnel current around 110 spoke site connect 3945 hub router refer hseck9 licens http www3ciscocomcenusproductscollateralrouters3900seriesintegratedservicesroutersisrqandac67606268html http wwwciscocomcenussupportdocssecurityvpnipsecnegoti show eli detail show isa sa count show ipsec sa count show platform cerminform sh eli hardwar encrypt activ number hardwar engin 1 cryptoengin onboard vpn detail state activ capabl ippcp de 3de ae ipv6 gdoi failclos ha ipsecsess 212 activ 6399 max 0 fail sh isakmp sa count activ isakmp sa 101 standbi isakmp sa 0 current negoti isakmp sa 0 sh ipsec sa cou ipsec sa total 208 activ 204 rekey 4 unus 0 invalid 0 sh platform cerminform export restrict manag cerm inform cerm function enabl resourcemaximum limitavail tx bandwidth in kbp 8500085000 rx bandwidth in kbp 8500085000 number tunnel 225123 number tl session 10001000 resourc reserv inform dynam clienttx bandwidthrx bandwidthtunnel tl session in kbp in kbp voic 0 0 0 0 ipsec 102 na sslvpn 0 na statist inform fail tunnel 0 fail session 0 fail tx bandwidth 0 fail rx bandwidth 0 fail encrypt pkt 0 fail decrypt pkt 0 fail encrypt pkt byte 0 fail decrypt pkt byte 0 pass encrypt pkt 23746321255 pass decrypt pkt 20079132018 pass encrypt pkt byte 21892230873508 pass decrypt pkt byte 9815317896176,DMVPN & HSEC license scalability query,https://supportforums.cisco.com/discussion/13063586/dmvpn-hsec-license-scalability-query,VIP,DMVPN,IPSEC,Router,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
3,294,2016,recent receiv asa 5505 spent week figur out set up vpn day final found solut connect asa vpn client yet acc devic connect asa config asa version 82 5 hostnam asa01 domainnam kevinasa01net enabl password 8ry2yjiyt7rrxu24 encrypt passwd 2kfqnbnidi2ky encrypt name interfac ethernet00 switchport access vlan 2 interfac ethernet01 interfac ethernet02 interfac ethernet03 switchport access vlan 5 interfac ethernet04 interfac ethernet05 interfac ethernet06 interfac ethernet07 interfac vlan1 nameif insid securitylevel 100 ip address 19216811 2552552550 interfac vlan2 nameif outsid securitylevel 0 ip address dhcp setrout interfac vlan5 nameif securitylevel 50 ip address 1721611 2552552550 ftp mode passiv dn servergroup defaultdn domainnam kevinasa01net samesecuritytraff permit intrainterfac accesslist remotekevinsplittunnelacl standard permit 19216810 2552552550 accesslist insidenat0outbound extend permit ip 19216810 2552552550 1921682540 255255255240 accesslist insidenat0outbound extend permit ip 1921682540 2552552550 accesslist insidenat0outbound extend permit ip 19216810 2552552550 accesslist nonatin extend permit ip 1921682540 2552552550 19216810 2552552550 accesslist outsideaccessin extend permit ip 1921682540 2552552550 accesslist insideaccessin extend permit ip 1921682540 2552552550 pager line 24 log asdm inform mtu outsid 1500 mtu insid 1500 ip local pool pool 192168254119216825410 mask 2552552550 icmp unreach ratelimit 1 burstsiz 1 asdm histori enabl arp timeout 14400 global outsid 1 interfac nat outsid 1 1921682540 2552552550 nat insid 0 accesslist nonatin nat insid 1 19216810 2552552550 nat insid 1 0000 0000 accessgroup outsideaccessin in interfac outsid timeout xlate 30000 timeout conn 10000 halfclos 01000 udp 00200 icmp 00002 timeout sunrpc 01000 h323 00500 h225 10000 mgcp 00500 mgcppat 00500 timeout sip 03000 sipmedia 00200 sipinvit 00300 sipdisconnect 00200 timeout sipprovisionalmedia 00200 uauth 00500 absolut timeout tcpproxyreassembl 00100 timeout floatingconn 00000 dynamicaccesspolicyrecord dfltaccesspolici http server enabl http 19216810 2552552550 insid snmpserver locat snmpserver contact snmpserver enabl trap snmp authent linkup linkdown coldstart ipsec transformset esp3dessha esp3d espshahmac ipsec transformset esp3desmd5 esp3d espmd5hmac ipsec transformset espdesmd5 espd espmd5hmac ipsec transformset espaes128sha espa espshahmac ipsec transformset espaes192sha espaes192 espshahmac ipsec transformset espaes128md5 espa espmd5hmac ipsec transformset espaes192md5 espaes192 espmd5hmac ipsec transformset espaes256sha espaes256 espshahmac ipsec transformset espaes256md5 espaes256 espmd5hmac ipsec transformset espdessha espd espshahmac ipsec securityassoci lifetim second 28800 ipsec securityassoci lifetim kilobyt 4608000 dynamicmap systemdefaultcryptomap 65535 set pf group1 dynamicmap systemdefaultcryptomap 65535 set transformset espaes128sha espaes128md5 espaes192sha espaes192md5 espaes256sha espaes256md5 esp3dessha esp3desmd5 espdessha espdesmd5 map outsidemap 65535 ipsecisakmp dynam systemdefaultcryptomap map outsidemap interfac outsid isakmp enabl outsid isakmp polici 10 authent preshar encrypt 3de hash sha group 2 lifetim 86400 telnet timeout 5 ssh timeout 5 consol timeout 0 managementaccess insid dhcpd autoconfig outsid dhcpd address 19216815192168136 insid dhcpd enabl insid threatdetect basicthreat threatdetect statist accesslist threatdetect statist tcpintercept webvpn grouppolici remotekevin intern grouppolici remotekevin attribut dnsserver valu 192168112 192168113 vpnsimultaneouslogin 3 vpntunnelprotocol ipsec splittunnelpolici tunnelspecifi splittunnelnetworklist valu remotekevinsplittunnelacl defaultdomain valu kevinasa01net usernam kevin password mz6jxjibsqqvsw9 encrypt privileg 0 usernam kevin attribut vpngrouppolici remotekevin tunnelgroup remotekevin type remoteaccess tunnelgroup remotekevin generalattribut addresspool pool defaultgrouppolici remotekevin tunnelgroup remotekevin ipsecattribut presharedkey classmap inspectiondefault match defaultinspectiontraff policymap type inspect dn presetdnsmap paramet messagelength maximum client auto messagelength maximum 512 policymap globalpolici class inspectiondefault inspect dn presetdnsmap inspect ftp inspect h323 h225 inspect h323 ra inspect rsh inspect rtsp inspect esmtp inspect sqlnet inspect skinni inspect sunrpc inspect xdmcp inspect sip inspect netbio inspect tftp inspect ipopt inspect icmp inspect icmp error servicepolici globalpolici global prompt hostnam context callhom report anonym cryptochecksum2bb1da52d1993eb9b13c2f6dc97c16cd end thank,"ASA 5505 VPN Established, Cannot acces inside network",https://supportforums.cisco.com/discussion/13049641/asa-5505-vpn-etablished-cannot-acces-inside-network,VIP,,,ASA 5505,VPN Feature Not Working,VPN Tunnel Not Coming Up,VPN Tunnel Not Coming Up,VPN Tunnel Not Coming Up,0
4,300,2016,problem pppoe spoker network dmvpn problem stabil tunnel dmvpn spoker pppoe problem ping spoker hub like ping dest ip hub sou local ip tunnel 50 success in spoker log messag dual5nbrchang eigrpipv4 1 neighbor xxxx tunnel2 down peer termin receiv pretti sure relat mtu set int tunnel 2 spoker tri play ip mtu ip tcp adjustmss size success normal in int dialer1 set mtu 1492 sh int dialer 1 mtu 1500 nt know right recip in case multipl spoker pppoe hub creat dmvpn pppoe spoker ye paramet pppoe dmvpn set mtu tunnel port place hub spoker etc use gre vpn remot pppoe instal nt problem anymor simplic code mainten prefer use dmvpn sure possibl configur nice thank,PPPoe DMVPN mtu,https://supportforums.cisco.com/discussion/13049101/pppoe-dmvpn-mtu,VIP,DMVPN,,,VPN Tunnel Flapping,VPN Tunnel Flapping,VPN Tunnel Flapping,VPN Tunnel Flapping,1
5,329,2016,look direct guid configur exampl ise psn use intermedi ca root ca corpor microsoft ca router asa firewal autoenrol certif request ise issu certif intermedi ca purpos certif router firewal use configur ipsec vpn mani thank rakesh,Cisco ISE issue Router Certificate,https://supportforums.cisco.com/discussion/13043681/cisco-ise-issue-router-certificate,VIP,,IPSEC,ASA,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
6,334,2016,expert use asa 5515x firmwar 942 asdm 752 question need show vpnanyconnect session histori want show connect statu anyconnect client use filter asdm process alway stop 97 pictureattach thank khoirul,How to show vpn-Anyconnect session history use ASDM?,https://supportforums.cisco.com/discussion/13042461/how-show-vpn-anyconnect-session-history-use-asdm,VIP,,,ASA 5515-x,Customer Education/Configuration Assistance / VPN Feature Not Working,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
7,338,2016,dear expert way configur vpn tplink router anyon pleas help thank moham rashid,VPN issue,https://supportforums.cisco.com/discussion/13042081/vpn-issue,community,---------------------,---------------------,TP-LINK router,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
8,340,2016,everybodi know new licens connect asa5500x in asa 5500x still free 2 licens connect plu apex pleas let know thank rgd chari,New Any Connect License,https://supportforums.cisco.com/discussion/13041856/new-any-connect-license,VIP,,,ASA 5500-x,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
9,353,2016,someon pleas explain upload window 10 anyconnect vpn client asa 5516 version 95 configur asa window 10 client help would greatli appreci thank lake,Windows 10 anyconnect vpn client,https://supportforums.cisco.com/discussion/13040046/windows-10-anyconnect-vpn-client,"Cisco, community",,,ASA5516 version 9.5,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
